sum(D 2/20),sum(D 5/20),sum(D 8/20),sum(D 11/20),sum(D 2/21),sum(D 5/21),Country,sum(C 2/20),sum(C 5/20),sum(C 8/20),sum(C 11/20),sum(C 2/21),sum(C 5/21),Death_Case_Ratio
0,69871,155677,232801,499819,577045,US,8,1143296,4669149,9355775,28117670,32421534,1.78
0,1323,38135,123097,156302,215542,India,2,39699,1803695,8267623,10991651,19557457,1.1
0,6761,94104,160253,245977,407639,Brazil,0,97100,2733677,5554206,10139148,14754910,2.76
0,24763,30268,37486,84271,104980,France,6,170179,227305,1566634,3642654,5713393,1.84
0,3336,5728,10402,27983,40844,Turkey,0,124375,232856,379775,2631876,4875388,0.84
0,1222,14104,28264,81517,109011,Russia,2,124054,849277,1642665,4105424,4768476,2.29
0,28039,41292,46943,120593,127796,United Kingdom,2,186731,306309,1057023,4117743,4435831,2.88
0,28710,35154,39059,95486,121177,Italy,2,209328,248070,731588,2795796,4044762,3.0
0,25100,28445,36257,67101,78216,Spain,1,216582,288522,1240697,3133122,3524077,2.22
0,6812,9154,10669,67883,83292,Germany,10,164967,211220,569598,2388421,3432676,2.43
0,237,3648,31623,51122,64252,Argentina,0,4681,201919,1183131,2060625,3005259,2.14
0,324,10650,31653,58685,74477,Colombia,0,7285,317651,1093256,2222018,2893655,2.57
0,664,1731,5875,42077,68068,Poland,0,13375,46894,395480,1631727,2803233,2.43
0,6156,17190,35738,59409,72484,Iran,0,96448,309437,628780,1566081,2534855,2.86
0,2061,47746,92100,179797,217233,Mexico,0,22088,439046,933155,2038276,2348873,9.25
0,279,1749,7584,26404,46447,Ukraine,0,11411,73761,414567,1346527,2137959,2.17
0,1200,19614,34476,44690,62126,Peru,0,42534,428850,902503,1269523,1810998,3.43
0,831,5236,14044,34316,45796,Indonesia,0,10843,111455,415402,1271353,1677274,2.73
0,245,384,3654,19097,29343,Czechia,0,7755,16800,350896,1146321,1634114,1.8
0,123,8366,19465,48940,54417,South Africa,0,6336,511485,727595,1502367,1584064,3.44
0,5003,6169,7527,15323,17425,Netherlands,0,40434,55408,374663,1066522,1534264,1.14
0,4529,9032,10345,21631,24269,Canada,4,57926,118768,243178,848330,1240878,1.96
0,247,9608,14302,19974,26561,Chile,0,21213,359731,513140,795845,1210920,2.19
0,95,4868,11017,13245,15536,Iraq,0,2219,129151,478701,664750,1074930,1.45
0,771,2413,7153,19795,28282,Romania,0,12732,53186,250704,777276,1057655,2.67
1,603,2059,7269,12068,17431,Philippines,2,8928,103185,385400,559288,1054983,1.65
0,7765,9845,11858,21887,24291,Belgium,0,49517,69849,447355,752379,995562,2.44
0,2669,5743,5938,12649,14048,Sweden,1,22432,77417,124355,631166,973604,1.44
0,232,589,2596,5526,6366,Israel,0,16069,73067,315795,744513,838554,0.76
0,1023,1738,2590,15897,16977,Portugal,0,25190,51463,146847,796339,837277,2.03
0,457,5976,6849,12601,18149,Pakistan,0,20084,279699,336260,571174,834146,2.18
0,335,597,1889,14252,27802,Hungary,0,2942,4535,82780,400111,782892,3.55
0,175,3154,5966,8342,11579,Bangladesh,0,8790,240746,410988,543024,761943,1.52
0,9,11,913,4543,8897,Jordan,0,460,1213,81743,359811,712901,1.25
0,189,590,833,4321,6409,Serbia,0,9362,26193,49205,434122,691920,0.93
0,1762,1981,2404,9886,10634,Switzerland,0,29817,35550,176177,547775,659974,1.61
0,596,718,1159,8368,10245,Austria,0,15558,21304,114016,443536,622110,1.65
0,536,1013,1787,7438,10342,Japan,20,14861,39116,102431,423952,605150,1.71
0,25,62,652,4297,7324,Lebanon,0,733,4885,83697,353371,528208,1.39
0,119,351,497,1108,1593,United Arab Emirates,5,13599,60999,135141,368175,523795,0.3
0,173,382,3826,8548,9028,Morocco,0,4729,25537,225070,480948,511856,1.76
0,176,2917,5437,6457,6979,Saudi Arabia,0,25459,278835,348037,374691,419348,1.66
0,103,125,251,1051,1533,Malaysia,8,6176,8999,33339,280272,415012,0.37
0,72,388,1349,9839,16492,Bulgaria,0,1594,11955,56496,236439,405194,4.07
0,1371,5736,12692,15513,18740,Ecuador,0,27464,86232,169562,273097,387299,4.84
0,24,29,219,6424,11766,Slovakia,0,1407,2344,61829,290457,383098,3.07
0,25,823,2227,3150,3349,Kazakhstan,0,3857,96774,150863,256388,381078,0.88
0,197,1471,2720,5727,6238,Panama,0,7090,67453,134915,336037,365104,1.71
0,97,567,989,1903,2562,Belarus,0,15828,68067,100400,276990,361063,0.71
0,143,208,642,6272,10453,Greece,0,2620,4662,42080,178918,346422,3.02
0,0,57,984,2061,3325,Nepal,1,59,20332,176500,273351,336030,0.99
0,77,149,594,5420,7182,Croatia,0,2088,5260,52660,239685,335173,2.14
0,25,462,753,3195,4561,Azerbaijan,0,1894,32443,57040,232973,321380,1.42
0,8,17,342,3425,4151,Georgia,0,582,1177,42579,268097,312445,1.33
0,42,51,1381,7755,10868,Tunisia,0,1009,1561,61906,227643,311743,3.49
0,71,3153,8741,11417,13009,Bolivia,0,1470,80153,141867,241771,306527,4.24
0,2,84,493,1971,3272,West Bank and Gaza,0,353,12297,54775,172315,297638,1.1
0,10,52,1429,3045,6572,Paraguay,0,370,5644,64156,150731,282543,2.33
0,33,457,786,1039,1578,Kuwait,0,4619,67911,127293,183322,276586,0.57
0,326,1178,2250,3028,3493,Dominican Republic,0,7578,72243,127591,234502,267455,1.31
0,3,310,1489,2271,3726,Ethiopia,0,133,18706,96942,151857,258384,1.44
0,475,615,724,2334,2491,Denmark,0,9605,14028,48753,207769,253607,0.98
0,124,791,1818,3760,5838,Moldova,0,4052,25362,76777,176245,251335,2.32
0,6,162,1404,2763,3231,Costa Rica,0,733,18975,111257,201678,250991,1.29
0,1286,1763,1917,4135,4906,Ireland,0,21176,26162,62750,214378,249838,1.96
0,33,63,159,3162,3950,Lithuania,0,1394,2104,16532,193562,249680,1.58
0,94,120,388,3769,4263,Slovenia,0,1439,2180,36206,184352,241672,1.76
0,415,4865,6291,10298,13469,Egypt,0,6193,94483,107925,177543,229635,5.87
0,17,1995,3738,6249,7558,Guatemala,0,688,51306,108104,170931,228684,3.3
0,33,754,1391,3159,4139,Armenia,0,2273,39050,93448,170234,216863,1.91
0,76,1377,2688,3992,5318,Honduras,0,1010,43197,98405,164495,213167,2.49
0,12,177,232,256,472,Qatar,0,14872,111107,132917,159967,206948,0.23
0,17,36,60,569,2724,Uruguay,0,652,1286,3165,52163,202492,1.35
0,10,174,806,1312,2172,Venezuela,0,345,20206,92705,135603,200067,1.09
0,72,352,1280,4979,8551,Bosnia and Herzegovina,0,1839,12296,52269,127537,198461,4.31
0,12,421,1256,1549,2043,Oman,0,2483,79159,116152,138494,195807,1.04
0,8,147,322,420,651,Bahrain,0,3284,41536,82133,117234,179297,0.36
0,3,83,880,2088,3039,Libya,0,63,3837,62907,129325,177871,1.71
0,85,888,1147,1831,2063,Nigeria,0,2388,43841,63036,151553,165153,1.25
0,22,369,1027,1817,2763,Kenya,0,435,22053,56601,103993,160422,1.72
0,82,497,1025,3047,4936,North Macedonia,0,1506,11054,32997,99031,152685,3.23
